UI_SYSTEMCURSOR "System cursor"
INTRO_SPEECH_1	"I don't fear ghosts..."
DININGCLOCK_ASHLEY_STRANGE	What an odd clock!
DININGCLOCK_ASHLEY_NUM13	The scrap of paper! Number 13 is written on it.
DININGCLOCK_ASHLEY_MAST	It's a piece of the mast off the galleon.
DININGCLOCK_ASHLEY_BOATREPAIRED	It's repaired! And it looks like I've triggered a mechanism.
DININGCLOCK_ASHLEY_DONTKNOW	I have no idea what time to set the clock to.
DININGCLOCK_ASHLEY_2ND	"There must be another combination for the second drawer...
What could it be?"

DININGLIB_ASHLEY_BOOKSBAD	These books are tatty!
DININGLIB_ASHLEY_MISSPART	Pages have been torn out of this book.
DININGPICTURE_ASHLEY_CLOCK	I don't believe it! It's the clock on the bookshelf!
DININGPICTURE_ASHLEY_INTRO	This photo seems to have been taken in this very room.
ROOM2_ISAAC_LIGHTBEDSIDE	"Are you wondering, like I am, why there's a light coming from the bedside table?"
HOUSE_BATHROOM_GROUND_INFO	"There's a round stain on this tile."
HOUSE_BATHROOM_SLEEP_INFO	He seems to be asleep.
HOUSE_BATHROOM_PARCHMENT	"Canopic jars!
This diagram seems to show a ritual
to arrange them."

HOUSE_BATHROOM_NEFERES_GOD	"Bow before Neferes, your Pharaoh God!"
HOUSE_BATHROOM_NEFERES_OSIRIS	"Are you Osiris?
Have you come to welcome me to my eternal kingdom?"

HOUSE_BATHROOM_ASHLEY_IMNOT1	"Neferes... pardon? ... Your majesty Neferes...
I'm afraid you're not where you think you are."
HOUSE_BATHROOM_NEFERES_RITUAL1	"Protect me, Gods!
The ritual has failed! I have been betrayed!"
HOUSE_BATHROOM_NEFERES_RITUAL2	"Am I not in my royal tomb?"
HOUSE_BATHROOM_ASHLEY_IMNOT2	"No, you are in my world, far from where you should be. You have to be freed."
HOUSE_BATHROOM_ASHLEY_IMNOT3	"I'm not Osiris, but I'm here for you."
HOUSE_BATHROOM_NEFERES_CHILD	""
HOUSE_BATHROOM_NEFERES_BACKTOMB	"I must leave your world and return to the Gods in my tomb!"

HOUSE_BATHROOM_ASHLEY_ICANHELP	"Maybe I can help you - give me your hand
and I'll find out what is keeping you
here among the dead."
HOUSE_BATHROOM_NEFERES_OK	"I wish to know. Woman sent by the Gods, here is my hand..."
HOUSE_NEFERES_EPILOG1	"My family betrayed me. But you have a good soul and have taught me how to trust again."
HOUSE_NEFERES_EPILOG2	"Receive a blessing from Neferes. You are now a child of the Pharaoh God."
HOUSE_NEFERES_EPILOG3	"Ashley, take this object and continue on. Are you ready to risk your life?"
inv_bathroom_chalk	Ochre chalk
inv_bath_flacon_blue_full	Blue bottle
inv_bath_flacon_blue_part	Incomplete blue bottle
inv_bath_flacon_green_full	Green bottle
inv_bath_flacon_green_part	Incomplete green bottle
inv_bath_flacon_red_full	Red bottle
inv_bath_flacon_red_part	Incomplete red bottle
inv_bath_flacon_yellow_full	Yellow bottle
inv_bath_flacon_yellow_part	Incomplete yellow bottle
egypt_land	Valley of the Kings
egypt_maze	Maze
egypt_mazeentry	Entrance
egypt_tomb	Tomb
egypt_keyroom	Key room
egypt_boatroom	Room with boat
egypt_boat	Boat
egypt_keyroom_zoom	Key mechanism
mo_gameboard_zone	Game board
mo_egypt_shop	Merchant
mo_egypt_walkingguy	Men strolling
mo_egypt_travelers	Travelers
mo_egypt_keyroom_cube	Mechanism
mo_egypt_maze_zone	Heavy closed door
mo_egypt_missingkey_zone	Strange device
inv_egypt_key	Maze Key
mo_egypt_boat_key	Key
inv_egypt_boat_key	Key
inv_egypt_fig01	Figurine
inv_egypt_fig02	Figurine
inv_egypt_fig03	Figurine
inv_egypt_fig04	Figurine
inv_egypt_fig05	Figurine
inv_egypt_fig06	Figurine
inv_egypt_fig07	Figurine
inv_egypt_fig08	Figurine
inv_egypt_fig09	Figurine
EGYPT_TOMB_GOD1_INFO	Isis
EGYPT_TOMB_GOD2_INFO	Thot
EGYPT_TOMB_GOD3_INFO	Horus
EGYPT_TOMB_GOD4_INFO	Hathor
EGYPT_TOMB_GOD5_INFO	Osiris
EGYPT_TOMB_GOD6_INFO	Anubis
EGYPT_TOMB_GOD7_INFO	Amon
EGYPT_MAZE_ROOM	Room
inv_egypt_god01	Isis
inv_egypt_god02	Thot
inv_egypt_god03	Horus
inv_egypt_god04	Hathor
inv_egypt_god05	Osiris
inv_egypt_god06	Anubis
inv_egypt_god07	Amon
egypt_tomb_connect_god01	Symbol of the God Isis
egypt_symbol_god01h	Symbol of the God Isis
egypt_tomb_connect_god02	Symbol of the God Thot
egypt_tomb_connect_god03	Symbol of the God Horus
egypt_tomb_connect_god04	Symbol of the God Hathor
egypt_symbol_god04h	Symbol of the God Hathor
egypt_tomb_connect_god05	Symbol of the God Osiris
egypt_tomb_connect_god06	Symbol of the God Anubis
egypt_tomb_connect_god07	Symbol of the God Amon
egypt_symbol_god07h	Symbol of the God Amon
mo_egypt_tomb_connect_zonemg	Purifying mechanism
mo_egypt_mazedoor	Labyrinth door
mo_egypt_maze_door1	Door number 1
mo_egypt_maze_door2	Door number 2
mo_egypt_maze_door3	Door number 3
mo_egypt_boat_zone	Boat
EGYPT_MAIN_PEOPLE1	"It cannot be! Our dead Pharaoh?
Who are you?"

EGYPT_MAIN_PEOPLE2	"The Gods are against us.
Flee I say, flee!"

EGYPT_MAIN_SHOP_HELLO	"What do you want, stranger?"
EGYPT_MAIN_NEFERES_ENTER	"To enter the Pharaoh's tomb!"
EGYPT_MAIN_SHOP_IHAVEKEY	"I have a secret key...
but only members of the Royal Family 
are allowed to enter the tomb!"

EGYPT_MAIN_NEFERES_IAM	"You might say I am closely related to the Pharaoh..."
EGYPT_MAIN_SHOP_SHOWME	"Prove it! Show me you know
life's secret!"

EGYPT_MAIN_SHOP_CONGRAT	You're right - life is full of conflict. A Pharaoh must resolve his people's conflicts and guide them to new heights.
EGYPT_MAIN_SHOP_ENTER	"Here is the key. Now enter and prepare to face the truth!"
EGYPT_NEFERES_KEYAPPEAR	"Though long dead, I seem to still have some dexterity. 
The tomb opening mechanism has appeared!"

EGYPT_NEFERES_EARTHQUAKE	"What happened? Could it be that the door opened?"
EGYPT_MAZEENTRY_DOOR_INFO	"This heavy door is firmly shut."
EGYPT_NEFERES_LOST	"I've lost my way!
I must remember which doors to take in the proper order.
The inscription to the right of the door may help..."

EGYPT_NEFERES_BADPLACE	That's the wrong place.
EGYPT_NEFERES_RESOLVEBOAT	"Perfect! It's not far now. I shall soon learn the truth."
EGYPT_MUMMY_RITUAL1	So you dare return to your tomb!
EGYPT_MUMMY_RITUAL2	"Pharaoh Neferes, you have shown disrespect to the Gods... Rectify your sin or yield to our wrath!"
EGYPT_NEFERES_WHATHAP	"I slighted the Gods?
What possibly could have happened while I was being embalmed?"

EGYPT_NEFERES_RESOLVECONNECT	Success! The mechanism now works!
EGYPT_NEFERES_ARRIVETOMB	"What could have happened here?
The purification ritual was sabotaged!
I have been betrayed!"

EGYPT_NEFERES_MEETHERES1	Mother... why are you here?
EGYPT_HERES_MEETHERES1	My son, I was the one who betrayed you!
EGYPT_HERES_MEETHERES2	"I plotted for your brother Akeraton to inherit your throne. Being younger, I considered him more able to satisfy my thirst for greatness."
EGYPT_NEFERES_MEETHERES2	Mother, you had me assassinated?
EGYPT_HERES_MEETHERES3	"No, my son, but I admit I was involved in plotting of your murder. I was blinded by thoughts of the riches your brother promised me after your death."
EGYPT_HERES_MEETHERES4	"And I sabotaged the embalming ritual to be sure you would not torment us in the afterlife."
EGYPT_HERES_MEETHERES5	"I too have been punished. I stand here, as I have for centuries, under the angry gaze of the Gods."
EGYPT_NEFERES_MEETHERES3	"I am Neferes, Grand Pharaoh, son of Ra. The Gods hold me responsible. I must end this curse!"
EGYPT_HERES_MEETHERES6	"The Gods requested I leave you this message: Activate the purification mechanism and your family will be pardoned."
EGYPT_NEFERES_FINAL1	"I am Neferes, Grand Pharaoh, son of Ra. The purification rites have now been observed!"
EGYPT_NEFERES_FINAL2	"Mother, you must now face your destiny among the dead. I've one last task - to thank a lady."
ISLAND_DIALOGBOX_INTRO1	"Why, it's the island where I perished! How is this possible?"
ISLAND_DIALOGBOX_INTRO2	"I buried a chest here containing wonderful treasure! At least... that's what I was led to believe."
ISLAND_DIALOGBOX_INTRO3	"I killed a Duke and abandoned my crew in order to keep it with me. Alas I lost the key and was never able to open it!"
ROOM2_VO_CHAPELET	Something seems to be emanating from the rosary
ROOM2_ASHLEY_NONEED	I've no need for this right now.
ROOM2_PRIEST_APPEAR	It's terrible! He's about to die. I must pray!
ROOM2_ASHLEY_CALMDOWN	Steady your nerves! Who do you say is dying?
ROOM2_PRIEST_APPEAR2	"The abbot. A strange illness consumes him.
It's the witch - she's poisoned him!
I'm sure of it! I'll jail her, the vermin!"

ROOM2_PRIEST_APPEAR3	"I'm trying to pray for his recovery,
but I've lost my Holy Bible."

ROOM2_ASHLEY_FOUNDBIBLE	Let me help. My dog and I will find the Bible for you.
ROOM2_PRIEST_NOBIBLE	"The abbot... he's dying!
And I can't pray, I lost my Holy Bible..."

ROOM2_ISAAC_WOOF	Woof!
ROOM2_ASHLEY_SEEK	"Isaac, be a good dog
and go find the lost Bible"

ROOM2_ASHLEY_THANKSISAAC	Good dog, Isaac!
HOUSE_ROOM2_ASHLEY_BEDSIDELIGHT	There is a strange glow in that drawer!
ROOM2_PRIEST_EVIL	"I still can't pray, as
I sense that there's a demon hidden in the room!"

ROOM2_ASHLEY_DEMONINMIRROR	"Some sort of evil force is possessing
the mirror!
Repairing the mirror should banish the evil."

HOUSE_ROOM2_MIRROR_INFO	"Part of the mirror is missing"
ROOM2_ASHLEY_DEMONINMIRROR2	"Complete!
The evil is just a numbskull
poltergeist... Drive it away!"

ROOM2_PRIEST_REPAIR	Take this mirror fragment, it may help.
ROOM2_ASHLEY_HEREBIBLE	"Here Priest, take this Bible.
Can you pray now?"

ROOM2_PRIEST_HELPPOLTER	Help me! The devil!
ROOM2_PRIEST_ICANTRUSTYOU	So I can trust you?
HOUSE_GUILLEM_EPILOG1	"Thank you... I was blind but now I see!"
HOUSE_GUILLEM_EPILOG2	"My intolerance brought about my downfall and the death of a man I respected."
HOUSE_GUILLEM_EPILOG3	"You seem so wise, and yet so fragile. Your soul is pure. The abbot would have wanted me to help you. So please, take this."
HOUSE_GUILLEM_EPILOG4	"Now I must meet my creator... As for you, beware of wolves disguised as lambs!"
inv_room2mirror_frag00	Mirror fragment
inv_room2mirror_frag01	Mirror fragment
inv_room2mirror_frag02	Mirror fragment
inv_room2mirror_frag03	Mirror fragment
inv_room2mirror_frag04	Mirror fragment
inv_room2mirror_frag05	Mirror fragment
inv_room2mirror_frag06	Mirror fragment
inv_room2mirror_frag07	Mirror fragment
inv_room2mirror_frag08	Mirror fragment
inv_room2_flask	Flask of holy water
inv_room2_bible	Bible
ISLAND_SKELETON_INFO	"Fair's fair: Murray got to live, and he got to keep his hat!"
ISLAND_CROSS_INFO	"The chest is buried here"
ISLAND_BEACH_MURRAY_BROKE	"Bless my barnacles - this shovel's too fragile! I must reinforce it."
ISLAND_CRABHOLE_INFO	"This hole seems to have been a shelter to crabs."
ISLAND_BEACH_MURRAY_NOBERRY	"I need a blowpipe and some ammunition!"
ISLAND_BEACH_MURRAY_SHARK	There's a shark lurking around the shipwreck. I can't go out there until I get it to swim away, but how?
ISLAND_BEACH_MURRAY_SAND	"I don't remember where the chest is buried... I need my treasure map."
ISLAND_BEACH_MURRAY_CROSSOK	"I have to dig where the map tells me to."
ISLAND_BEACH_MURRAY_NEEDMAP	"I need my treasure map."
ISLAND_BEACH_MURRAY_MISSED	"Missed!"
ISLAND_BEACH_MURRAY_HANDLE	"A handle would help..."
ISLAND_BEACH_MURRAY_MYSAFE	My chest... Now I just need to open it to find out what's inside.
ISLAND_BEACH_PARROT_PEARL	It's too high. I need some form of projectile!
ISLAND_BEACH_PARROT_NOPEARL	Thieeeef!
ISLAND_BEACH_PARROT_SAFE	...
ISLAND_BEACH_MURRAY_IWASWAITING	I've waited for this moment for many years.
ISLAND_BEACH_MURRAY_MINE	The pearl is mine now, stupid parrot!
ISLAND_BEACH_NECKLESS_INFO	This seems to be the missing half of my locket.
ISLAND_CAVE_MURRAY_ENOUGH	I think I have enough...
ISLAND_CAVE_MURRAY_BERK	Oh, nasty!
ISLAND_CAVE_MURRAY_MGDONE	"What a find! A shovel handle!"
ISLAND_DIVE_MURRAY_INTRO	I must act quickly!
ISLAND_DIVE_MURRAY_DONE	I'm done here.
ISLAND_DIVE_MURRAY_WHY	Why won't the clam give me the key?
ISLAND_DIVE_MURRAY_STICKNOT	The twig isn't enough. I need something more. 
ISLAND_DIVE_MURRAY_STICK	This twig will stop the clam from closing.
ISLAND_DIVE_MURRAY_PEARL	A pearl of exactly the same weight as the key.
ISLAND_DIVE_MURRAY_BLOUP	...glug glug glug...?
ISLAND_DIVE_MURRAY_SUCCESS	I did it! I have the key to the chest!
ISLAND_DIVE_MURRAY_TOFAST	It closes too quickly. I have to jam it open!
ISLAND_DIVE_MURRAY_TOOLATE	I'm out of time!
ISLAND_DIVE_MURRAY_MISSED	Failed!
ISLAND_VIEW_MURRAY_NICE	"The shark is visible from here...

Such a beautiful view!"

ISLAND_VIEW_MURRAY_DONE	I'm done here.
ISLAND_VIEW_MURRAY_SHARK	"A shark is preventing me from reaching the shipwreck.
I must get it to swim away, but how?"

ISLAND_VIEW_MURRAY_HERE	It won't bother me here.
ISLAND_VIEW_MURRAY_SEA	The sea looks magnificent from up here. But I must be careful!
ISLAND_VIEW_MURRAY_FREE	The path is clear!
ISLAND_VIEW_MURRAY_SUCCESS	Great! I succeeded, and the path is clear!
ISLAND_VIEW_MURRAY_FAILED	I must get this shark to swim away. Start again.
ISLAND_CREEK_MURRAY_VOLCANO	This volcano looks very menacing, but fortunately it's calm right now.
ISLAND_CREEK_MURRAY_SAND	The beach is strewn with fragments of clams.
ISLAND_CREEK_PARROT_PEARL	My peeaaarrrlll!
ISLAND_CREEK_MURRAY_WHERE	Hey! Where did it go?
ISLAND_QUEEN_EPILOG1	"Samuel... Know you who I am?"
ISLAND_MURRAY_EPILOG1	"You are... our Queen?!"
ISLAND_QUEEN_EPILOG2	"I am indeed. And thus ends a very long search for you."
ISLAND_MURRAY_EPILOG2	"F...For me? How so?"
ISLAND_QUEEN_EPILOG3	"You are my son! I gave you life before I became Queen..."
ISLAND_QUEEN_EPILOG4	"I was told that you were lost at sea during an expedition along the spice trading routes. You were accompanying your uncle, the Marquis of York."
ISLAND_QUEEN_EPILOG5	"Rumors surfaced that you were still alive. I regained hope."
ISLAND_QUEEN_EPILOG6	"I sent the Duke of Oxford on a mission to find you. I gave him half a locket as proof of your existence..."
ISLAND_MURRAY_EPILOG3	"The Duke... The treasure... The locket... you mean to say I murdered the man who tracked me down?"
ISLAND_QUEEN_EPILOG7	"The treasure, Samuel - It was the only hope for us to reunite. Go now... you know the truth."
ISLAND_MURRAY_EPILOG4	"Yes. I am free... I ask you to forgive me. Farewell mother."
ISLAND_QUEEN_EPILOG8	"You are forgiven. Goodbye, my son. We will reunite..."
inv_island_berry	Berry
inv_island_blowpipe	Hollow reed
inv_island_blowpipearmed	Blowpipe
inv_island_crab	Crab
inv_island_key	Key
inv_island_map	Treasure map
inv_island_rope	Strap
inv_island_shovelbroken	Broken shovel
inv_island_shovelfull	Shovel
inv_island_shovelhandle	Shovel handle
inv_island_shovelhead	Shovel head
inv_island_shovelstrong	Strengthened shovel
inv_island_wood	Stick
LIVINGROOM_TITLE_PAGE1	KAPANGYA
LIVINGROOM_SUBTITLE_PAGE1	The Inca Legend
LIVINGROOM_TEXT_PAGE1	""
LIVINGROOM_TITLE_PAGE2	USE
LIVINGROOM_SUBTITLE_PAGE2	"The 4 powers"
LIVINGROOM_TEXT_PAGE2	"Legend says that the Kapangya statuette holds 4 magic powers.
Choose 2 different symbols on the belly of the statue and a magic power will be triggered by pressing its eye."

LIVINGROOM_TITLE_PAGE3	ELEVATION
LIVINGROOM_SUBTITLE_PAGE3	"And the rocks defy gravity"
LIVINGROOM_TEXT_PAGE3	"The Kapangya statuette was used by the Incan rulers to elevate rock. They could gain access to enemy temples by raising the heavy stone doors that blocked their entry.

The formula for ELEVATION is:
2 dragons"

LIVINGROOM_TITLE_PAGE4	ILLUMINATION
LIVINGROOM_SUBTITLE_PAGE4	"Darkness conquered"
LIVINGROOM_TEXT_PAGE4	"The Kapangya statuette was able to produce strikingly powerful light. Thus, the statuette's holder need never fear the darkness of night!

The formula for ILLUMINATION is:
1 eye and 1 dragon."

LIVINGROOM_TITLE_PAGE5	QUAKE
LIVINGROOM_SUBTITLE_PAGE5	"Wrath of the earth"
LIVINGROOM_TEXT_PAGE5	"Earthquake was the most impressive power of Kapangya.
Fortunately, its effects were short-lived - so goes the legend!

The formula for QUAKE is:
2 eyes"

LIVINGROOM_TITLE_PAGE6	ECLIPSE
LIVINGROOM_SUBTITLE_PAGE6	"The sun dies"
LIVINGROOM_TEXT_PAGE6	"The eclipse was dreaded by early settlers, who saw it as a curse.
Imagine, therefore, the immense power of the statuette's holder who could summon an eclipse by magic!

The formula for ECLIPSE is:
1 dragon and 1 eye"

HOUSE_PIANO_SCORE_INFO	This melody looks easy to play...
HOUSE_LIVINGROOM_ASHLEY_WHATWAS	"What can I do? I have to somehow help this ghost."
HOUSE_LIVINGROOM_ASHLEY_GHOSTSTAT	"This must be the book the ghost mentioned. I have to find the missing pages."
HOUSE_LIVING_BOOKG_INFO	"The pages are missing."
HOUSE_LIVING_STATUETTEG_INFO	"You must assemble a statuette here."
HOUSE_LIVINGROOM_ASHLEY_NEEDBOOK	"I have no idea how to make this statuette. First I should look for the book and place it on the table as the ghost suggests."
HOUSE_LIVINGROOM_ASHLEY_BOOKHERE	"OK, the book seems to be in the right place. Let's take a closer look!"
HOUSE_LIVINGROOM_SLOT_INFO	Something seems to be missing here.
HOUSE_LIVINGROOM_INCOMPLETE	Hmmm... nothing's happening. Could it be that three symbols are required?
HOUSE_LIVINGROOM_BOOKEFFECT	Something's written in the book.
HOUSE_LIVINGROOM_STATUETTETALK1	"Woman - I beg you! Help me rebuild Kapangya. Use the book to help you!"
HOUSE_LIVINGROOM_STATUETTETALK2	Maypin kashan munaykiki? Maypitaqmi khuyayniki?
HOUSE_LIVINGROOM_ASHLEY_ORDER	Whoops! I must check the book.
HOUSE_LIVINGROOM_ASHLEY_ORDERFLAME	Oh! I think I need to light a fire in the base.
HOUSE_LIVINGROOM_ASHLEY_BRUSHWOOD	It's likely to go out unless I bind the twigs together.
HOUSE_LIVINGROOM_ASHLEY_ZIPEMPTY	My lighter won't work! It must be empty.
HOUSE_LIVINGROOM_ASHLEY_MISSEYE	I think I'm done - all it needs now is an eye. Can this statuette really have incredible powers?
HOUSE_LIVINGROOM_ASHLEY_OKLETME	OK, it's asking me to activate an effect on the statuette. I'll try...
HOUSE_LIVINGROOM_YUMANCO_ASKEFFECT0	You rebuilt Kapangya - you have the honor of activating it!
HOUSE_LIVINGROOM_YUMANCO_ASKEFFECT1	Two dragons to elevate rock!
HOUSE_LIVINGROOM_YUMANCO_ASKEFFECT2	An eye and a dragon to cast light!
HOUSE_LIVINGROOM_YUMANCO_ASKEFFECT3	Two eyes and the earth will quake!
HOUSE_LIVINGROOM_YUMANCO_ASKEFFECT4	A dragon and an eye to shadow the sun!
HOUSE_LIVINGROOM_EFFECT1DONE	You have activated the ELEVATION effect
HOUSE_LIVINGROOM_EFFECT2DONE	You have activated the ILLUMINATION effect
HOUSE_LIVINGROOM_EFFECT3DONE	You have activated the QUAKE effect
HOUSE_LIVINGROOM_EFFECT4DONE	You have activated the ECLIPSE effect
HOUSE_LIVINGROOM_ASHLEY_PIANO	"It's hard to get near with this poltergeist buzzing around!"
HOUSE_LIVINGROOM_ASHLEY_KILLPOL	"Nothing but a lowlife and a pest!"
HOUSE_LIVING_SCORE_INFO	"It's the stand for a music score."
LIVING_POLT_TUTO	"Poltergeists try to stop you from achieving your objective.

Click the poltergeist to drive it away."

HOUSE_LIVINGROOM_YUMANCO_DIAL1	I am YUMANCO...
HOUSE_LIVINGROOM_YUMANCO_DIAL2	You gave life to Kapangya, my statue. Are you a goddess?
HOUSE_LIVINGROOM_YUMANCO_DIAL3	Then you may be able to help me...
HOUSE_LIVINGROOM_YUMANCO_DIAL4	I made a grave mistake. I must repent and be forgiven.
HOUSE_LIVINGROOM_YUMANCO_DIAL5	I must have your counsel and your powers. I need to reach the land of the dead.
HOUSE_LIVINGROOM_ASHLEY_HELLO	Hello Yumanco.
HOUSE_LIVINGROOM_ASHLEY_NOTGOD	No, I'm no goddess. But I'm here to free you from what torments you.
LIVINGROOM_ASHLEY_GIVEME	I'll try. Give me your hand. You must show me what keeps you here...
HOUSE_LIVINGROOM_YUMANCO_BACK1	Ashley! Ashley! I'm free and can now rest in peace for all eternity.
HOUSE_LIVINGROOM_YUMANCO_BACK2	Ashley, my friend - remember me...
HOUSE_KEYHOLE_DOOR_INFO	"It's locked."
HOUSE_BASEMENTKEYHOLE_NATSUMI_GOAWAY	Go away! Leave me be!
HOUSE_BASEMENT_NATSUMI_THANKYOU	Thank you...
HOUSE_BASEMENTKEYHOLE_ASHLEY_DONTBE	"Don't be afraid of me.
I'm here to help you."

HOUSE_BASEMENTKEYHOLE_NATSUMI_DOYOU	"I just want to see my husband again, Atsuhito."
HOUSE_BASEMENTKEYHOLE_ASHLEY_NO	"Let me in, I can perhaps..."
HOUSE_BASEMENTKEYHOLE_NATSUMI_SOGO	"If you manage to open the door, then come in. Otherwise leave me be!"
HOUSE_BASEMENTKEYHOLE_ASHLEY_NOTEASY	Hmmm... This is not going to be easy.
HOUSE_BASEMENTKEYHOLE_NATSUMI_ISAID	I said GO AWAY!
HOUSE_BASEMENTKEYHOLE_ASHLEY_OUPS	"I don't believe it.
That makes me jump every time..."

HOUSE_BASEMENT_BONZAI_INFO	"This bonsai is beautiful.
How incredible with it being kept in a cellar."

HOUSE_BASEMENT_BROKENPOT_INFO	The pot is broken... and empty.
HOUSE_BASEMENT_MESS_INFO	Useless items.
HOUSE_BASEMENT_COAL_INFO	The coal has been knocked over.
HOUSE_BASEMENT_VASE_INFO	This vase seems to have something in it.
HOUSE_BASEMENT_VASEBROKEN_INFO	The vase is now broken.
HOUSE_BASEMENT_TRASH_INFO	The trash can is empty.
HOUSE_BASEMENT_NATSUMI_HELPME	Free me, I beg you!
HOUSE_BASEMENT_ASHLEY_GIVEME	Give me your hand and I'll guide you in your world...
HOUSE_BASEMENT_NATSUMI_LETME	Leave me to cry by myself. Leave...
HOUSE_BASEMENT_ASHLEY_BULBBROK	The bulb's broken.
HOUSE_BASEMENT_ASHLEY_LIGHT	The light's already on.
HOUSE_BASEMENT_ASHLEY_CUT	I'll cut myself if I try to unscrew it.
HOUSE_BASEMENT_ASHLEY_MISSBULB	All I need is a new light bulb.
HOUSE_BASEMENT_ASHLEY_WRISTBROK	These pruning shears would be useful if they weren't broken.
HOUSE_BASEMENT_ASHLEY_DRAWING	Looks like a landscape from centuries past. The tree is magnificent.
HOUSE_BASEMENT_ASHLEY_INEED2	I have to trim the bonsai to look as the ghost remembers it.
HOUSE_BASEMENT_ASHLEY_OUPSFALL	Whoops!
HOUSE_BASEMENT_NATSUMI_CANYOUBONZ	Can you trim the bonsai to look as I remember it?
HOUSE_BASEMENT_NATSUMI_DOYOUHAVE	Do you have something for me?
HOUSE_BASEMENT_NATSUMI_DOYOUHAVE2	I said, have you something for me?
HOUSE_BASEMENT_NATSUMI_IDONTNEED	I have no need for that.
HOUSE_BASEMENT_ASHLEY_SHEDRAW	The ghost seems to be drawing something...
HOUSE_BASEMENT_ASHLEY_SHEDRAW2	She's made me a drawing!
HOUSE_BASEMENT_NATSUMI_DOYOUWANT2GIVE	You want to give me something?
HOUSE_BASEMENT_ASHLEY_IMPOBULB	That's not possible - there's already a light bulb.
HOUSE_BASEMENT_ASHLEY_CANNOTWRIST	My pruning shears are broken. It's impossible to use them.
HOUSE_BASEMENT_ASHLEY_INEEDMODEL	I'd need a guide to follow in order to trim this properly.
HOUSE_BASEMENT_NATSUMI_WOMANYOUCAN	"By trimming the bonsai you've brought back the happy memories of my wedding day."
HOUSE_BASEMENT_NATSUMI_CANYOUIWILL	"I'm ready once again for the man I love... Come, take me there!"
HOUSE_BASEMENT_ASHLEY_REALLYSO	"You're sure? If you trust me, I'll be able to help you."
HOUSE_BASEMENT_NATSUMI_ITISATSU	It's Atsuhito... I was so in love with him, and we were to marry...
JAPAN_DIALOGBOX_INTRO1	"My home! It's here that I was to marry, but Atsuhito was called to war and never came back..."
JAPAN_DIALOGBOX_INTRO2	"I must get to the bridal suite to finish preparations..."
JAPAN_NATSUMI_NEEDFIRE	I can't light this torch without fire...
JAPAN_NATSUMI_FLAME	The lamp is lit!
JAPAN_NATSUMI_LAMPGARDEN	Lamp is lit.
JAPAN_NATSUMI_ENDALPHA1	Congratulations! You've now completed the Alpha test of Age Of Enigma.
JAPAN_NATSUMI_ENDALPHA2	** Quit the game by hitting ESCAPE **
JAPAN_NATSUMI_ORDERFIRST	I must tidy things up first.
JAPAN_NATSUMI_STILLNEED	I think I'll need that.
JAPAN_NATSUMI_DEJAFAIT	It's already done.
JAPAN_NATSUMI_NOROOM	I have no space for that.
JAPAN_NATSUMI_LIGHTFIRST	I think I should light this first.
JAPAN_NATSUMI_BEDROOM_MGDONE	There, that's how I arranged them on our wedding day.
JAPAN_NATSUMI_MAINSCREEN_MGDONE	A lantern has appeared on the bench!
JAPAN_NATSUMI_MAINSCREEN_BANK	Nothing happens.
JAPAN_ATSUHITO_EPILOG1	"What a beautiful bridal suite. I would have cherished my wedding night. But with the war, it wasn't to be."
JAPAN_ATSUHITO_EPILOG2	"Natsumi, you must have waited forever for this moment. You died and still I didn't come back."
JAPAN_ATSUHITO_EPILOG3	"How many years have you wasted?"
JAPAN_ATSUHITO_EPILOG4	"You must learn, Natsumi, that life is worth more than anything, and that regrets don't honor the dead."
JAPAN_NATSUMI_EPILOG1	"Atsuhito, my sweetheart... I thought it better to wait for you than to let go..."
JAPAN_ATSUHITO_EPILOG5	"Memories are always with you. Leave now in peace, and remember the love we shared."
JAPAN_NATSUMI_HOUSEEPILOG1	"Thank you Ashley! You have helped lift a terrible weight from my heart."
JAPAN_NATSUMI_HOUSEEPILOG2	"I didn't know earthly love, but with this pardon, I will know it in the afterlife."
JAPAN_NATSUMI_HOUSEEPILOG3	"Ashley, be careful! He who doesn't free, imprisons..."
INCA_DIALOGBOX_INTRO1	"Woman, you have divine powers! You sent me to the entrance of the land of the dead. Now I must complete the path that keeps me from redemption."
INCA_DIALOGBOX_INTRO2	"I will enter this temple and face my destiny again!"
INCA_DIALOGBOX_INTRO3	"Thank you! Help me enter the temple."
INCA_MAIN_YUMANCO_STATUETTE_NOEFFECT	"I should try something else."
INCA_ARTEFACT_APPEAR	A symbol of one of the great sorrows - I should take it.
INCA_MAIN_DOOR_INFO	"The door's closed."
INCA_MAIN_TOPDOOR_INFO	"Death row."
INCA_MAIN_PYRAMID_INFO	"The pyramid of sacrifices. It seems to be angry!"
INCA_MAIN_SKY_INFO	"The sun seems to be hidden."
INCA_MAIN_YUMANCO_MGDONE	I was sure this block was hiding something!
INCA_GUARD_NEEDSPEAR	My spear is broken!
INCA_GUARD_SPEARBROKEN	It's incomplete!
INCA_GUARD_REFUSE	What are you doing there? My spear is broken - first, help me!
INCA_GUARD_RITUAL1	"My spear is finally repaired.
I can now carry out the ritual!"

INCA_GUARD_RITUAL2	"Sacrificed souls -
The day of our deliverance is upon us!"

INCA_GUARD_RITUAL3	"Yumanco, Lord of the Nahuati people..."
